seed,policy,B,K,acc,lira,ece,train_seconds
42,budget_reuse,1,20,0.8448753462603878,0.529510465184685,0.0414992172055109,2.4849839210510254
42,uncapped_avg,5,20,0.8965835641735919,0.53047645599882,0.0930938752861547,2.4849839210510254
42,budget_reuse,5,20,0.8541089566020313,0.5276279341011809,0.042887009742597,2.4849839210510254
42,budget_reuse,20,20,0.8956602031394275,0.5318022421559074,0.0933639934156308,2.4849839210510254
123,budget_reuse,1,20,0.8291782086795937,0.5539999948844264,0.0308027617296068,2.524338960647583
123,uncapped_avg,5,20,0.8790397045244691,0.5608565686949063,0.0931775394382209,2.524338960647583
123,budget_reuse,5,20,0.8328716528162512,0.556127220904962,0.0295545967164612,2.524338960647583
123,budget_reuse,20,20,0.8781163434903048,0.5609605853580346,0.0925253599359838,2.524338960647583
456,budget_reuse,1,20,0.8328716528162512,0.5486333318839208,0.0378321028244581,2.5332369804382324
456,uncapped_avg,5,20,0.8836565096952909,0.5511808875349671,0.0960872860126252,2.5332369804382324
456,budget_reuse,5,20,0.8541089566020313,0.548396310307284,0.0498898033768996,2.5332369804382324
456,budget_reuse,20,20,0.8827331486611265,0.5510205995622774,0.0963706494816858,2.5332369804382324
789,budget_reuse,1,20,0.8254847645429363,0.5250569320711508,0.026583957820022753,2.6469907760620117
789,uncapped_avg,5,20,0.8882733148661126,0.5325623311327841,0.10034317677441346,2.6469907760620117
789,budget_reuse,5,20,0.8578024007386889,0.5242759545020884,0.056263353479530806,2.6469907760620117
789,budget_reuse,20,20,0.8901200369344414,0.5307445973148355,0.10136204253779968,2.6469907760620117
1024,budget_reuse,1,20,0.8254847645429363,0.5449202780484769,0.02802500952436563,2.402329921722412
1024,uncapped_avg,5,20,0.8818097876269622,0.5503385230827469,0.09586144803878054,2.402329921722412
1024,budget_reuse,5,20,0.8559556786703602,0.5456040597192062,0.06042201617931631,2.402329921722412
1024,budget_reuse,20,20,0.8799630655586335,0.5498551013778797,0.09549469540912567,2.402329921722412
