seed,frac,query_set,conf_auc,lira,n_mem,n_non,pop_lira,acc
42,0.6,population,0.454112452243989,0.511982804851951,1083,1083,0.511982804851951,0.8180978762696214
42,0.6,unprot_clean,0.6272956542361509,0.5227063702778212,337,513,0.511982804851951,0.8180978762696214
42,0.6,prot_boundary_clean,0.6267723836799849,0.5195196957603644,236,361,0.511982804851951,0.8180978762696214
42,0.6,top_decile_lte,0.4876601003670137,0.5188000898809078,169,158,0.511982804851951,0.8180978762696214
123,0.6,population,0.4645183815348255,0.5218848501435344,1083,1083,0.5218848501435344,0.7987072945521699
123,0.6,unprot_clean,0.6378401503003613,0.512187971184453,329,508,0.5218848501435344,0.7987072945521699
123,0.6,prot_boundary_clean,0.6283263769934135,0.4962363386330189,229,362,0.5218848501435344,0.7987072945521699
123,0.6,top_decile_lte,0.4898875385452567,0.5165971340467985,149,148,0.5218848501435344,0.7987072945521699
456,0.6,population,0.4930398358241913,0.538178378346118,1083,1083,0.538178378346118,0.8005540166204986
456,0.6,unprot_clean,0.6294434212040982,0.5420657304017498,365,476,0.538178378346118,0.8005540166204986
456,0.6,prot_boundary_clean,0.6464420472136223,0.5426180340557275,272,304,0.538178378346118,0.8005540166204986
456,0.6,top_decile_lte,0.5363247863247863,0.5667200854700855,144,130,0.538178378346118,0.8005540166204986
